object_name,object_class,location_x,location_y,location_z,rotation_pitch,rotation_yaw,rotation_roll,scale_x,scale_y,scale_z,spawns,spawncount
"vogelchen01_Cue2_2",AmbientSound,50570.71,-2166.176,5145.802,,,,,,,,
"P_TreeTrunk_ResidualSmoke3",Emitter,43280.02,-1813.262,840.1786,0,-180.0001,0,,,,,
"P_TreeTrunk_ResidualSmoke4",Emitter,43779.79,-2078.669,-87.45966,0,-180.0001,0,2,2,2,,
"Firth",RedGuy_C,10365.68,-2738.081,798.1855,-7E-06,-59.99955,1.1E-05,,,,,
"RedGuy24",RedGuy_C,10683.71,-3007.39,684.3345,0,131.0291,0,,,,,
"RedGuy29",RedGuy_C,10495.57,-3152.344,685.8821,0,122.9625,0,,,,,
"RedGuy5_2",RedGuy_C,11665.94,-1201.727,1083.081,0,90.73218,0,,,,,
"RedGuy7",RedGuy_C,12600.27,-1880.76,1083.081,0,270,0,,,,,
"RedGuy8",RedGuy_C,11866.39,-2622.34,688.9517,0,450,0,,,,,
"Bag_1",StaticMeshActor,32274.5,-2089.21,-2830.844,-0.00352,59.16072,-93.72106,125,125,125,,
"Bag_18",StaticMeshActor,30903.36,-14734.52,-2366.554,1.91886,93.92013,-95.72636,111,111,111,,
"Bag_24",StaticMeshActor,33721.14,-1870.42,-2788.63,-3.282359,-2.650284,-91.75366,125,125,125,,
"Bag_26",StaticMeshActor,39915.96,3638.878,-161.0796,-4.778407,-129.0327,-86.13626,111,111,111,,
"Bag_27",StaticMeshActor,46328.95,-8456.979,185.1546,7E-06,-113.0931,-91.5133,111,111,111,,
"Bag_28",StaticMeshActor,52213.56,-18721.09,1298.445,7E-06,-185.2953,-91.51321,111,111,111,,
"Bag_29",StaticMeshActor,32691.41,-6409.829,8978.521,8.513714,79.74986,191.5393,1111,1111,1111,,
"Bag_54",StaticMeshActor,49298.91,146.3902,969.8113,-4.778387,-50.28257,-86.13623,111,111,111,,
"Bag_56",StaticMeshActor,49090.65,-3516.266,969.8113,-4.778383,-174.0327,-86.13622,111,111,111,,
"Brick133",StaticMeshActor,50971.65,-10216.26,3079.762,0,-270.291,-33.75006,30,27.04174,48.71353,,
"Cartoon_plank_02_95",StaticMeshActor,12175.02,-1786.742,1006.457,0,90.00001,0,6.843822,6.843822,6.843822,,
"Cartoon_plank_18",StaticMeshActor,12226.25,-1572.665,1006.457,0,-89.99999,0,6.843822,6.843822,6.843822,,
"Cartoon_plank_19",StaticMeshActor,12148,-1305.023,1006.457,0,-87.22704,0,6.843822,6.843822,6.843822,,
"Cartoon_plank_20",StaticMeshActor,12361.2,-2042.988,991.0295,0,8E-06,0,2,2,2,,
"Cartoon_plank_21",StaticMeshActor,12761.2,-2042.988,991.0295,0,8E-06,0,2,2,2,,
"Cartoon_plank_22",StaticMeshActor,11361.2,-2042.988,991.0295,0,8E-06,0,2,2,2,,
"Cartoon_plank_23",StaticMeshActor,11061.2,-1942.988,991.0295,0,-89.99999,0,2,2,2,,
"Cartoon_plank_24",StaticMeshActor,11061.2,-1542.988,991.0295,0,-89.99999,0,2,2,2,,
"Cartoon_plank_25",StaticMeshActor,11061.2,-1142.988,991.0295,0,-89.99999,0,2,2,2,,
"Cartoon_plank_26",StaticMeshActor,12861.2,-1742.988,991.0295,0,90.00001,0,2,2,2,,
"Cartoon_plank_27",StaticMeshActor,12861.2,-1342.988,991.0295,0,90.00001,0,2,2,2,,
"Cartoon_plank_28",StaticMeshActor,12761.2,-1042.988,991.0295,0,180,0,2,2,2,,
"Cartoon_plank_29",StaticMeshActor,12361.2,-1042.988,991.0295,0,180,0,2,2,2,,
"Cartoon_plank_30",StaticMeshActor,11961.2,-1042.988,991.0295,0,180,0,2,2,2,,
"Cartoon_plank_31",StaticMeshActor,11561.2,-1042.988,991.0295,0,180,0,2,2,2,,
"Cartoon_plank_32",StaticMeshActor,11261.2,-1042.988,991.0295,0,180,0,2,2,2,,
"Cartoon_plank_33",StaticMeshActor,11761.2,-1042.988,1111.03,0,180,0,2,2,2,,
"Cartoon_plank_34",StaticMeshActor,11161.2,-2042.988,1111.03,0,180,0,2,2,2,,
"Cartoon_plank_35",StaticMeshActor,12561.2,-2042.988,1111.03,0,180,0,2,2,2,,
"Globe_chain_11",StaticMeshActor,33100,-6200,6539.778,0,-6.1E-05,0,51.97557,51.97557,51.97557,,
"Globe_chain_25",StaticMeshActor,33100,-6200,8045.221,0,112.5002,0,51.97557,51.97557,51.97557,,
"Globe_chain_26",StaticMeshActor,33100,-6200,9568.816,0,202.5003,0,51.97557,51.97557,51.97557,,
"Globe_chain_27",StaticMeshActor,33100,-6200,11085,0,112.5001,0,51.97557,51.97557,51.97557,,
"Globe_chain_28",StaticMeshActor,33100,-6199.995,12601.31,0,-11.25,0,51.97557,51.97557,51.97557,,
"Globe_chain_29",StaticMeshActor,33100,-6199.995,14124.91,0,78.7501,0,51.97557,51.97557,51.97557,,
"Globe_chain_30",StaticMeshActor,33213.06,-5204.337,19424.81,-6.222318,9.391246,-146.7617,11,11,11,,
"Globe_chain_4",StaticMeshActor,33100,-6200,5580.838,,,,68.29745,68.29745,68.29745,,
"GlobeMerged_8",StaticMeshActor,10451.56,-2660,780.5548,7.629395E-06,-270,600.2349,1.5,1.5,1.5,,
"House10",StaticMeshActor,10317.58,-2576.2,696.041,6.1E-05,-69.99971,180,5,5,5,,
"House14",StaticMeshActor,10618.57,-2622.173,640.6799,6.1E-05,-69.99971,225,1.410068,1.559246,6.592959,,
"House15",StaticMeshActor,10568.37,-2484.259,640.6761,6.1E-05,-69.99971,225,1.410068,1.559246,6.592959,,
"House16",StaticMeshActor,10060.96,-2705.778,595.9857,6.8E-05,-249.9997,225,1.410068,2.886256,6.592959,,
"House17",StaticMeshActor,10123.16,-2839.439,608.7104,6.8E-05,-249.9997,225,1.410068,2.501353,6.592959,,
"House7",StaticMeshActor,10369.22,-2718.126,696.041,-3.1E-05,110.0003,180,5,5,5,,
"Rocket2",StaticMeshActor,43238.86,-1807.416,914.4842,-39.99937,180.0001,180,100,100,100,,
"Simple_rock_144",StaticMeshActor,51292.16,-1885.231,715.8606,7E-06,103.3629,92.65491,106.1229,106.1229,106.1229,,
"Simple_rock_65",StaticMeshActor,29007.83,-5465.356,590.2047,0,-278.5951,0,10.46807,8.52767,12.68044,,
"SM_bush_b19",StaticMeshActor,39998.54,-14663.1,278.511,,,,4.763612,9.981193,7.574371,,
"SM_bush_b20",StaticMeshActor,38953.57,-17868.14,1073.858,0,33.38509,0,4.763612,9.981193,7.574371,,
"SM_bush_b21",StaticMeshActor,49064.35,-15068.82,220.8515,0,-393.7287,0,6.168737,8.171011,6.168737,,
"SM_cliff_a12",StaticMeshActor,46399.14,-5461.738,2191.647,0,107.2871,0,6,6,6,,
"Volcanic_Stone_63",StaticMeshActor,55436.03,-10156.45,2358.79,-5.141728,49.24832,-130.0792,154.6758,154.6758,152.081,,
"Volcanic_Stone_64",StaticMeshActor,54336.12,-10156.45,2310.947,-5.141712,-119.502,-130.079,138.9989,138.9989,136.404,,
"Volcanic_Stone_65",StaticMeshActor,53645.95,-10156.45,2310.953,-5.141694,-220.7522,-130.0789,117.3209,117.3209,114.726,,
"Wood_block_374",StaticMeshActor,33280.67,-7944.575,202.9842,-0.674832,-180,268.9604,7.379261,7.379261,7.379261,,
