object_name,object_class,location_x,location_y,location_z,rotation_pitch,rotation_yaw,rotation_roll,scale_x,scale_y,scale_z,spawns,spawncount
"10",8_C,454.6927,-39166.05,472,0,140.6246,0,,,,,
"11",8_C,507.4684,-38826.87,472,0,-163.1251,0,,,,,
"12",8_C,449.9623,-38720.87,472,0,-140.6248,0,,,,,
"8_2",8_C,528,-38941,472,0,179.9998,0,,,,,
"9",8_C,511.1293,-39056.13,472,0,163.125,0,,,,,
"Bass_Atmospheric_15_Cue2",AmbientSound,-2237.466,-28570.09,-2147.341,,,,,,,,
"Bass_Atmospheric_15_Cue3",AmbientSound,-2237.466,-25158.77,-1716.403,,,,,,,,
"Bass_Atmospheric_15_Cue_5",AmbientSound,-2237.466,-31859.92,-2147.341,,,,,,,,
"Bass_Atmospheric_heavy_Cue_10",AmbientSound,-1823.977,-17501.86,-4745.842,,,,,,,,
"driploop_Cue_2",AmbientSound,-1400,-32940,-2070,,,,,,,,
"LavaAmbient2",AmbientSound,51585.17,12094.85,3232.094,,,,,,,,
"LavaAmbient2_Cue10",AmbientSound,73614.64,39827.46,1568.519,,,,,,,,
"LavaAmbient2_Cue2_2",AmbientSound,37447.83,-7230.661,1128.905,,,,,,,,
"LavaAmbient2_Cue3",AmbientSound,38507.1,-13666.85,1128.905,,,,,,,,
"LavaAmbient2_Cue4",AmbientSound,39328,-21141.23,1128.905,,,,,,,,
"LavaAmbient2_Cue5",AmbientSound,50489.74,-19498.34,1128.905,,,,,,,,
"LavaAmbient2_Cue6",AmbientSound,51594.38,-29920.97,1128.905,,,,,,,,
"LavaAmbient2_Cue7_7",AmbientSound,42257.21,3588.667,1423.436,,,,,,,,
"LavaAmbient2_Cue8_5",AmbientSound,59299.56,27607.94,1371.112,,,,,,,,
"LavaAmbient2_Cue9",AmbientSound,59590.7,34338.88,1371.112,,,,,,,,
"LavaAmbient2_Cue_2",AmbientSound,-55135.09,53428.81,-156.3171,,,,,,,,
"LavaAmbient3",AmbientSound,41343.66,8270.765,3232.094,,,,,,,,
"LavaAmbient4",AmbientSound,67033.05,37421.36,1864.057,0,144.1108,0,,,,,
"LavaAmbient5",AmbientSound,62884.49,34826.32,1864.057,0,-1.461447,0,,,,,
"peopletalkloop_Cue_2",AmbientSound,-1463.128,-34149.55,592.5708,,,,,,,,
"voegel10",AmbientSound,-32292.97,-40442.13,407.6605,,,,,,,,
"voegel11_2",AmbientSound,31312,21588,1631,,,,,,,,
"voegel12_5",AmbientSound,27109,28029,3330,,,,,,,,
"voegel13_8",AmbientSound,22891,12635,1902,,,,,,,,
"voegel14_11",AmbientSound,17993,6057,1182,,,,,,,,
"voegel15_14",AmbientSound,-1024,-36399,1347,,,,,,,,
"voegel1_5",AmbientSound,-18110.34,-39195.67,994.2783,,,,,,,,
"voegel2_8",AmbientSound,-15141.54,-35293.98,971.3276,,,,,,,,
"voegel3",AmbientSound,-14589.32,-45574.45,971.3276,,,,,,,,
