object_name,object_class,location_x,location_y,location_z,rotation_pitch,rotation_yaw,rotation_roll,scale_x,scale_y,scale_z,spawns,spawncount
"PlayerPrisonSpawnPosition",Actor,53824.85,-7843.75,-2662.472,0,180.0002,0,,,,,
"Electricity1_2",AmbientSound,-5218.366,-4509.996,805.8897,,,,,,,,
"FizzleLoop_Cue_2",AmbientSound,54802.72,-7864.345,-2040.313,,,,,,,,
"LavaAmbient2_Cue_2",AmbientSound,18595.54,9022.713,2946.531,,,,,,,,
"ohmecholoop_2",AmbientSound,-7424.789,-10694.22,-305.6285,,,,,,,,
"Rocketloop_5",AmbientSound,-1.704235,-0.01926492,0.6267978,,,,0.09090908,0.09090908,0.09090908,,
"Rocketstart_2",AmbientSound,-4804.314,-4657.889,633.9965,,,,,,,,
"waterfalling_Cue2_2",AmbientSound,18224.32,-4393.618,-286.5136,,,,,,,,
"waterfalling_Cue_2",AmbientSound,-7398.969,-620.4194,823.2681,,,,,,,,
"AudioVolume2_6",AudioVolume,33494.91,-7999.809,-2283.389,,,,4.344535,35.33935,4.122546,,
"AudioVolume3_6",AudioVolume,54883.43,-7738.863,337.8931,,,,4.521622,4.521622,18.98505,,
"AudioVolume_1",AudioVolume,6637.243,308.811,-1762.709,,,,23.4779,34.62475,7.876325,,
"BallButton10_2",BallButton_C,8104.127,-777.1938,-2298.772,,,,,,,,
"BallButton11",BallButton_C,-3521.822,-11770.77,1056.41,-90,0.000218566,-0.0004577637,,,,,
"BallButton12_2",BallButton_C,-6230.524,-16938.53,-793.7494,0,-22.5,0,,,,,
"BallButton13",BallButton_C,-6924.35,-19466.9,-795.3142,0,146.5921,0,,,,,
"BallButton14_2",BallButton_C,35648.01,-5097.394,108.9053,0,5.696347,0,,,,,
"BallButton15",BallButton_C,7506.132,2381.027,34.0482,0,5.696343,0,,,,,
"BallButton16_2",BallButton_C,40493.03,-1150.909,126.0541,,,,,,,,
"BallButton17_2",BallButton_C,44780,-3710,-400,,,,,,,,
"BallButton18_2",BallButton_C,43444.48,-1539.575,-2094.754,,,,,,,,
"BallButton2",BallButton_C,9246.598,12618.47,2185.992,,,,,,,,
"BallButton3_5",BallButton_C,39894.88,-2929.303,1512.054,4.420034,-0.9337463,7.476999,,,,,
"BallButton4_3",BallButton_C,36859.93,1714.854,-217.2505,,,,,,,,
"BallButton5",BallButton_C,1906.728,13247.11,2027.001,,,,,,,,
"BallButton6_2",BallButton_C,43720.47,-10174.57,245.8655,,,,,,,,
"BallButton7_3",BallButton_C,14316.72,18232.78,2229.618,,,,,,,,
"BallButton8",BallButton_C,8247.621,-10122.35,392.3303,0,-123.4073,0,,,,,
"BallButton9_3",BallButton_C,-7842.66,-9440.786,-3641.287,,,,,,,,
"BallButton_2",BallButton_C,-7559.358,13429.2,1004.004,,,,,,,,
"BallRingSingle2_2",BallRingSingle_C,46070.81,11587.74,-264.422,-0.1394653,-7.4021,-91.07324,4,4,4,,
"BallRingSingle3_5",BallRingSingle_C,23181.24,14686.96,2529.236,0,0,-90.00012,2.093042,2.093042,2.093042,,
"BallRingSingle4_2",BallRingSingle_C,18544.54,14101.83,1972.056,-9.155273E-05,33.75049,90.0001,2.5,2.5,2.5,,
"BallRingSingle5_5",BallRingSingle_C,31858.72,-14830.62,-1253.857,,,,2,2,2,,
"BallRingSingle_5",BallRingSingle_C,33227.71,-5113.183,19544.27,90,0.009891169,0.00989117,7,7,7,,
"Battery2_2",Battery_C,5293.146,2392.262,-2175.332,,,,0.5,0.5,0.5,,
"Battery3_2",Battery_C,22013.79,17276.7,2988.031,,,,,,,,
"Battery_2",Battery_C,47295.86,-16234.36,357.4023,,,,,,,,
"Bench_Wooden_01_2",Bench_Wooden_01_C,3164.311,568.089,698.9431,0,89.99995,0,1.537152,1,1,,
"Bench_Wooden_2",Bench_Wooden_01_C,55413.66,-6760.04,-2662.472,0,275.0002,0,,,,,
"Bench_Wooden_3",Bench_Wooden_01_C,3177.288,144.4665,698.8512,0,89.99995,0,1.088787,1,1,,
