object_name,object_class,location_x,location_y,location_z,rotation_pitch,rotation_yaw,rotation_roll,scale_x,scale_y,scale_z,spawns,spawncount
"BlockingVolume11",BlockingVolume,11894.88,-1569.725,3696.083,0,3.814697E-06,0,0.7040584,1,0.221138,,
"BuySmashdown3_2",BuySmashdown_C,26390.26,-2018.056,1790.87,0,-33.745,0,,,,,
"Chest17_2",Chest_C,23079.57,-4180.441,878.7725,0,-139.0909,0,,,,BuySmashdownRadius+5_C,1
"Chest19",Chest_C,25817.18,-7237.586,769.6909,0,-97.87274,0,,,,BuySmashdownDamage+100_C,1
"Chest23",Chest_C,24272.51,-5507.076,811.2318,0,-172.9339,0,,,,BuySmashdownRadius+_C,1
"Chest26",Chest_C,26694.5,161.8863,1745.299,0,38.63092,0,,,,BuySmashdownDamage+100_C,1
"Chest27",Chest_C,26185.88,-1189.156,1806.585,0,38.63092,0,,,,BuySmashdownRadius+5_C,1
"RoundStickShadowDecal_2",DecalActor,5150.761,-4695.035,38.95803,-90,-14.03626,126.5358,0.429882,0.341875,0.341875,,
"P_TreeTrunk_ResidualSmoke10",Emitter,55437.66,-9958.271,2434.577,0,-180.0001,0,2,2,2,,
"P_TreeTrunk_ResidualSmoke11",Emitter,55017.05,-10383.85,2164.629,0,-180.0001,0,2,2,2,,
"P_TreeTrunk_ResidualSmoke12",Emitter,54517.28,-10118.45,3092.268,0,-180.0001,0,,,,,
"P_TreeTrunk_ResidualSmoke13",Emitter,45947.39,-5229.521,3045.892,0,-192.2892,0,,,,,
"P_TreeTrunk_ResidualSmoke14",Emitter,46379.23,-5595.22,2118.254,0,-192.2892,0,2,2,2,,
"P_TreeTrunk_ResidualSmoke3",Emitter,43280.02,-1813.262,840.1786,0,-180.0001,0,,,,,
"P_TreeTrunk_ResidualSmoke4",Emitter,43779.79,-2078.669,-87.45966,0,-180.0001,0,2,2,2,,
"P_TreeTrunk_ResidualSmoke8",Emitter,51320.02,-1803.262,1690.179,0,-180.0001,0,,,,,
"P_TreeTrunk_ResidualSmoke9",Emitter,51819.79,-2068.669,762.5403,0,-180.0001,0,2,2,2,,
"RedGuy47_0",RedGuy_C,-4698.228,-5163.905,706.1917,0,-292.8183,0,,,,,
"RedGuy48_1",RedGuy_C,-5017.464,-5208.227,706.1917,0,-292.8183,0,,,,,
"RedGuy49_2",RedGuy_C,-5266.504,-5464.166,706.1917,0,-292.8183,0,,,,,
