object_name,object_class,location_x,location_y,location_z,rotation_pitch,rotation_yaw,rotation_roll,scale_x,scale_y,scale_z,spawns,spawncount
"CricketLoop2_Cue10_31",AmbientSound,40419.89,-19840.24,2211.621,,,,,,,,
"CricketLoop2_Cue2",AmbientSound,52706.96,-1403.483,7378.169,,,,,,,,
"CricketLoop2_Cue3_16",AmbientSound,45882.98,13763.18,-950.7368,,,,,,,,
"CricketLoop2_Cue4_19",AmbientSound,28833.89,-4641.041,868.5811,,,,,,,,
"CricketLoop2_Cue5",AmbientSound,13895.19,-4843.323,868.5811,,,,,,,,
"CricketLoop2_Cue6",AmbientSound,2457.552,-10183.01,4829.718,,,,,,,,
"CricketLoop2_Cue7",AmbientSound,-7953.679,-4709.871,1913.351,,,,,,,,
"CricketLoop2_Cue8_25",AmbientSound,-3274.249,13500.98,4485.199,,,,,,,,
"CricketLoop2_Cue9_28",AmbientSound,11979.79,14030.97,3396.778,,,,,,,,
"CricketLoop2_Cue_12",AmbientSound,40236.68,-7829.332,939.3408,,,,,,,,
"CricketLoop_Cue2",AmbientSound,48179.45,-19472.11,1189.33,,,,,,,,
"CricketLoop_Cue3",AmbientSound,8681.327,66.94824,1189.33,,,,,,,,
"CricketLoop_Cue4",AmbientSound,20231.19,15364.12,1189.33,,,,,,,,
"CricketLoop_Cue_3",AmbientSound,42819.88,859.5792,1189.33,,,,,,,,
"SkySphereBlueprint",BP_Sky_Sphere_C,43973.46,596.1254,-52.41413,,,,2,2,2,,
"LightSource",DirectionalLight,44800.2,-81.40973,463.4736,-66.65635,7.837631,-6.601641,,,,,
"PointLight114",PointLight,38828.52,-6201.18,624.2688,-11.25003,-101.2501,4E-06,,,,,
"PointLight115",PointLight,38817.84,-6641.912,635.9997,-11.25003,-101.2501,4E-06,,,,,
"PointLight116",PointLight,32617.96,-3715.06,-2296.968,-11.25003,-101.2501,4E-06,,,,,
"PointLight117",PointLight,32607.27,-4155.79,-2285.237,-11.25003,-101.2501,4E-06,,,,,
"PointLight125",PointLight,37643.18,815.4632,205.1597,-11.25003,-101.2501,4E-06,,,,,
"PointLight126",PointLight,37632.49,374.7328,216.8907,-11.25003,-101.2501,4E-06,,,,,
"PointLight127",PointLight,5022.567,-4541.155,1109.434,0,-46.71539,0,,,,,
"PointLight142",PointLight,-8853.503,-10260.64,20.6954,,,,,,,,
"PointLight145",PointLight,44765.05,-12274.33,701.864,-11.25003,-101.2501,4E-06,,,,,
"PointLight146",PointLight,44754.37,-12715.06,713.5951,-11.25003,-101.2501,4E-06,,,,,
"PointLight147",PointLight,52747.96,-16939.84,1526.795,-0.210671,-101.0313,-2.18127,,,,,
"PointLight148",PointLight,52737.27,-17369.82,1624.284,-0.210671,-101.0313,-2.18127,,,,,
"PointLight152",PointLight,23645.73,-2162.508,642.5839,-11.25003,-101.2501,4E-06,,,,,
"PointLight153",PointLight,23635.04,-2603.238,654.3143,-11.25003,-101.2501,4E-06,,,,,
"PointLight175",PointLight,35866.59,-1448.607,-2279.755,-11.25003,-101.2501,4E-06,,,,,
"PointLight176",PointLight,35855.91,-1889.338,-2268.024,-11.25003,-101.2501,4E-06,,,,,
"PointLight182",PointLight,42252.49,7977.149,-1438.118,,,,,,,,
